,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
0,grey,1,1,8,Basic cell groups and regions,"[997, 8]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[191, 218, 227]"
1,CH,1,2,567,Cerebrum,"[997, 8, 567]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[176, 240, 255]"
2,CTX,1,3,688,Cerebral cortex,"[997, 8, 567, 688]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[176, 255, 184]"
3,CTXpl,1,4,695,Cortical plate,"[997, 8, 567, 688, 695]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[112, 255, 112]"
4,Isocortex,1,5,315,Isocortex,"[997, 8, 567, 688, 695, 315]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[112, 255, 113]"
5,FRP,1,6,184,"Frontal pole, cerebral cortex","[997, 8, 567, 688, 695, 315, 184]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891]","[38, 143, 69]"
6,FRP1,1,7,68,"Frontal pole, layer 1","[997, 8, 567, 688, 695, 315, 184, 68]","[667481440, 184527634, 12, 691663206]","[38, 143, 69]"
7,FRP2/3,1,8,667,"Frontal pole, layer 2/3","[997, 8, 567, 688, 695, 315, 184, 667]","[667481441, 184527634, 12, 691663206]","[38, 143, 69]"
8,MO,1,12,500,Somatomotor areas,"[997, 8, 567, 688, 695, 315, 500]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[31, 157, 90]"
9,MOp,1,18,985,Primary motor area,"[997, 8, 567, 688, 695, 315, 500, 985]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891, 114512892]","[31, 157, 90]"
10,MOp1,1,19,320,"Primary motor area, Layer 1","[997, 8, 567, 688, 695, 315, 500, 985, 320]","[667481440, 184527634, 12, 691663206]","[31, 157, 90]"
11,MOp2/3,1,20,943,"Primary motor area, Layer 2/3","[997, 8, 567, 688, 695, 315, 500, 985, 943]","[667481441, 184527634, 12, 691663206]","[31, 157, 90]"
12,MOp5,1,21,648,"Primary motor area, Layer 5","[997, 8, 567, 688, 695, 315, 500, 985, 648]","[184527634, 12, 667481446, 691663206]","[31, 157, 90]"
13,MOp6a,1,22,844,"Primary motor area, Layer 6a","[997, 8, 567, 688, 695, 315, 500, 985, 844]","[667481449, 184527634, 12, 691663206]","[31, 157, 90]"
14,MOp6b,1,23,882,"Primary motor area, Layer 6b","[997, 8, 567, 688, 695, 315, 500, 985, 882]","[667481450, 184527634, 12, 691663206]","[31, 157, 90]"
15,MOs,1,24,993,Secondary motor area,"[997, 8, 567, 688, 695, 315, 500, 993]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[31, 157, 90]"
16,MOs1,1,25,656,"Secondary motor area, layer 1","[997, 8, 567, 688, 695, 315, 500, 993, 656]","[667481440, 184527634, 12, 691663206]","[31, 157, 90]"
17,MOs2/3,1,26,962,"Secondary motor area, layer 2/3","[997, 8, 567, 688, 695, 315, 500, 993, 962]","[667481441, 184527634, 12, 691663206]","[31, 157, 90]"
18,MOs5,1,27,767,"Secondary motor area, layer 5","[997, 8, 567, 688, 695, 315, 500, 993, 767]","[184527634, 12, 667481446, 691663206]","[31, 157, 90]"
19,MOs6a,1,28,1021,"Secondary motor area, layer 6a","[997, 8, 567, 688, 695, 315, 500, 993, 1021]","[667481449, 184527634, 12, 691663206]","[31, 157, 90]"
20,MOs6b,1,29,1085,"Secondary motor area, layer 6b","[997, 8, 567, 688, 695, 315, 500, 993, 1085]","[184527634, 12, 667481450, 691663206]","[31, 157, 90]"
21,SS,1,30,453,Somatosensory areas,"[997, 8, 567, 688, 695, 315, 453]","[3, 112905828, 691663206, 10, 12, 184527634, 112905813, 114512891, 114512892]","[24, 128, 100]"
22,SSp,1,37,322,Primary somatosensory area,"[997, 8, 567, 688, 695, 315, 453, 322]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[24, 128, 100]"
23,SSp-n,1,44,353,"Primary somatosensory area, nose","[997, 8, 567, 688, 695, 315, 453, 322, 353]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[24, 128, 100]"
